 do not satisfy 	 is not consistent with 
 so do not be touching anything 	 -do n't touch anything 
 issues that do not 	 questions that do not 
 it is sometimes 	 it is not always 
 who did not respond to 	 that did not participate in 
 not see how 	 n't see how 
 chairman shall not 	 president shall not 
 no , that 's all right 	 no , i am not 
 that the applicant had not 	 that the claimant did not 
 has no application 	 are not subject 
 and did not 	 yet , no 
 not the same thing as 	 not the same as 
 we will be unable 	 we will not be able 
 not exceeding 1 	 not exceeding one 
 i 'm not coming 	 i 'm not going 
 the client does not 	 the customer does not 
 is not hard 	 is easy 
 not care 	 not fucking interested 
 , that ai n't 	 things are not 
 not suffice 	 is insufficiently 
 is not enough to say 	 is not sufficient to say 
 that 's not my fault 	 it was n't my fault 
 and i ai n't 	 and i am not 
 person who is not 	 person without 
 you 're not supposed to 	 you have nothing to 
 not possible to 	 not have been 
 directive does not 	 directive only 
 not qualify as 	 not be considered 
 'm not surprised 	 am not surprised 
 satisfied that 	 do not consider that 
 'm not at liberty 	 'm not supposed 
 and not just in the 	 and not only in 
 the authors do not 	 the complainants did not 
 n't broken 	 not broken 
 are ineffective 	 are not effective 
 , depends 	 depends not only 
 probably hallucinating 	 not gonna believe this 
 do not appear 	 are not to be 
 what for , sir 	 why not liked 
 definitely not 	 no , it is n't 
 i am not one 	 i do n't sit 
 n't lie . 	 'm not lying . 
 who has not been 	 who have yet to 
 unless there is 	 if not 
 commission failed to 	 commission not to 
 , you do n't need 	 , you do not need 
 , will not 	 , is n't there 
 did not do so 	 were not available 
 see no reason why 	 can not see why 
 be involved in 	 will not take part in 
 it will not happen again . 	 it wo n't happen again . 
 not warranted 	 not required 
 i can not 	 it is not possible 
 not working , 	 does not operate , 
 unless we 	 if it was not 
 if they are unable to 	 if they can not 
 you 're not drinking 	 you do not drink 
 , it only 	 , it is not 
 , it is easy to 	 , it is not difficult to 
 , yet , 	 but is not 
 , it is no longer 	 , it is not 
 's not well . 	 's not fine . 
 be guaranteed 	 ensure not 
 'm not really 	 'm not very 
 that do not belong to 	 that are not members of 
 were inconsistent with 	 does not fit 
 this ai n't 	 they are not 
 are n't i 	 was he not 
 - no , we did n't 	 i am not 
 it 's not easy 	 it 's not an easy question 
 , there 's 	 , this is not 
 she did n't know 	 she did not know 
 can not go on 	 can not continue 
 not uncommon 	 generally held 
 but we do not 	 however , we do not 
 role , not 	 role being played 
 is not all . 	 is n't all . 
 do n't you feel well ? 	 are you not feeling well ? 
 can not be found 	 is not 
 are wrong 	 am not 
 i was unable 	 i could not 
 nor is 	 's not really 
 not stopped 	 still going on 
 i do n't have anything 	 i did not 
 , should not 	 states should not 
 i 'm not sure if 	 i am not sure whether 
 that there could 	 that it is not possible 
 not pay 	 get paid 
 so scared 	 afraid not 
 verify whether or not 	 be checked whether 
 here i am 	 i 'm not here 
 - i 'm serious . 	 i 'm not kidding . 
 you really are . 	 no , it 's not . 
 - you were 	 you 're not 
 has not taken 	 is still not 
 and why are you 	 well , why not 
 appears unlikely 	 is not expected 
 it does n't have 	 it does not have a 
 would not accept 	 does not agree with 
 member states of 	 not members 
 believed to be 	 do not think it 
 has thus not 	 was not 
 in order to determine whether 	 if you are not sure whether 
 are not considered 	 do not qualify 
 it was incredible 	 you 're not gonna believe it 
 provision for 	 does not provide for 
 not exactly , no . 	 well , not exactly . 
 look , i do n't want 	 i 'm not doing 
 this is an order 	 that 's not a request 
 , remained 	 still not 
 agency has not 	 office has not 
 , we can not support 	 , we can not endorse 
 nor do we 	 , we did not 
 it 's not over yet 	 it is n't finished 
 advisory committee had not 	 committee has no 
 was not shown 	 has not been demonstrated 
 not differentiate 	 not distinguish 
 is necessary for 	 is not required for 
 it is ? 	 it 's not ? 
 did n't have any 	 either not 
 were n't that 	 's not that 
 not inclusive of 	 not covered 
 does not appear that 	 is no evidence that 
 was n't me 	 is not i 
 l 'm sorry 	 i 'm sorry i did not 
 can not allow ourselves to 	 can not afford to 
 not do this 	 no , it does n't 
 not respond to the 	 not participate in the 
 yes , that 's true 	 no , i 'm not kidding 
 is offline 	 is not connected 
 not willing to 	 not want to 
 while it is not 	 although it is not 
 that they do n't 	 that they did not 
 , exists 	 does not exist 
 you 're not gonna die 	 yes , you are 
 it is not his fault 	 it 's not her fault 
 does not satisfy the 	 does not meet the 
 no , we 're not 	 -you did n't 
 not listening to me 	 n't listen to me 
 but i was wrong . 	 but i 'm not . 
 'm not sure we 	 do not know if we 
 will absolutely not 	 will certainly not 
 i 'm over here . 	 i 'm not going anywhere . 
 why did n't you say something 	 what 's not 
 did not last 	 did n't last 
 no longer even 	 not even 
 's not my friend 	 's not my girlfriend 
 wish to 	 are not willing to 
 you are unsure 	 you are not certain 
 be resolved 	 not solve 
 can not create 	 failed to create 
 i knew it . 	 i did not think so . 
 no , i can not 	 - no , i ca n't 
 maybe not 	 are perhaps 
 i 'm over here 	 i 'm not going anywhere 
 do not recognize the 	 do not recognise the 
 be compatible 	 is not inconsistent 
 yeah , i am 	 no , it 's not 
 - why you think that 	 why is itnot working 
 is not prepared to 	 was not willing 
 not reply . 	 not respond . 
 not enough for 	 are inadequate 
 they could not 	 it was impossible 
 is not the way to 	 's no way to 
 we can not accept 	 it is unacceptable 
 is n't you , 	 's not you , 
 , and therefore 	 , they are not 
 going to 	 'm not going to 
 's not for 	 is n't about 
 nor is it 	 , or not 
 that it was impossible 	 that we can not 
 if they had n't 	 if they had not 
 not containing 	 not 
 be sufficient to 	 is not enough 
 who are not able 	 that can only 
 attempts to 	 try not to 
 concerns not only 	 is not just 
 does not see why 	 is no reason why 
 is no substitute for 	 does not replace 
 that have not yet 	 which were not 
 really do n't 	 , i am not 
 they know not what 	 they do n't know what 
 exists . 	 does not exist . 
 - no , not really . 	 well , not exactly . 
 we did not manage 	 we have not been able 
 , which were not 	 who are neither 
 hey , that 's not fair 	 that 's not right 
 department has not 	 has provided no 
 not be possible . 	 not going to happen . 
 am not gonna 	 'm not gonna 
 is no longer able 	 could not 
 , he is a 	 he 's not a 
 , it seems to 	 there does not appear to 
 not experience 	 not been 
 it ai n't enough 	 - it 's not enough 
 the commission has not 	 the board failed 
 been sufficient 	 does not suffice 
 is not easy 	 is a challenge 
 it is not true that 	 is certainly not 
 this is not her 	 this is n't your 
 definitely do not 	 there is absolutely 
 because he 's not 	 as it is not 
 that it could not be 	 that it is impossible 
 assess whether 	 determine whether or not 
 commission proposal does not 	 commission 's proposal does not 
 what for , sir ? 	 why not liked ? 
 no , siree 	 not after seeing you 
 , would n't you say ? 	 , did you not ? 
 yeah , i suppose i did 	 no , it 's not 
 does n't understand 	 does not include 
 countries not 	 's countries 
 lastly , i am 	 last but not least , i 
 is enough 	 are not sufficient 
 not less than 600 mm 	 600 mm 
 not going to happen 	 it- there is n't 
 could not always 	 are not always able 
 that there can not 	 who is unable to 
 president , shall not vote 	 president , shall not 
 , it shall not be necessary 	 , it does not have 
 the commission has failed 	 the committee had not 
 that he does not believe that 	 that he does not think 
 do n't underestimate 	 do not underestimate 
 citizens , both 	 citizens not 
 not confined 	 is n't an 
 'm not angry 	 'm not mad 
 does n't matter 	 is important not only 
 not even know 	 n't even know 
 it 's not a toy 	 this is not a toy 
 do not want 	 do not want to see 
 i did n't . 	 i am not . 
 it really is 	 it 's not that 
 might not have 	 had still not 
 restriction of 	 not limited to 
 's not nice . 	 is n't well . 
 he did not want to 	 he did n't 
 that the author failed 	 that the complainant did not 
 do not understand why 	 do n't understand why 
 if you are not sure if 	 if you 're not sure whether 
 he 's not gonna 	 he 's not going 
 not this 	 this is n't a 
 fails to meet 	 was not consistent with 
 should n't l 	 did i not 
 no , we have n't . 	 no , i did not . 
 not lying 	 you been drinking , sir 
 could not be applied 	 is not applicable 
 not only that , 	 is furthermore 
 lack is 	 there is not enough 
 oh ... no 	 not after seeing you 
 can ever 	 shall not be entitled 
 if it was 	 if you 're not 
 sorry to have bothered you 	 no , i 'm afraid not 
 are n't you , 	 not true , 
 did not challenge the 	 did not dispute the 
 is necessary 	 does not matter 
 , i do not agree 	 , i disagree 
 - no , not really 	 well , not exactly 
 were not successful 	 can not be settled 
 few and 	 are not very 
 not in a position 	 not able 
 may not be 	 not be allowed 
 minimum number 	 , but is not limited 
 could n't . 	 is not possible . 
 within a period not exceeding 	 within a maximum of 
 it was unfair 	 it is not fair 
 is unable to determine 	 could not determine 
 unbalanced 	 is not balanced 
 and does not have 	 , nor has 
 now prepared 	 not prepared 
 he did not have 	 he never had 
 not paid 	 is not true 
 why not , sir knight 	 what , uh , what happened 
 nor indeed 	 is there not a 
 is not compatible . 	 is not supported . 
 were apparently 	 do not appear to 
 's unacceptable . 	 is not acceptable . 
 have not responded to the 	 did not reply to the 
 yeah , why not 	 yeah , so 
 would hardly 	 is not likely 
 and could n't 	 and could not 
 nothing has 	 there is not 
 not only that 	 not confined 
 did not apply . 	 is not applicable . 
 not kidding . 	 no joke . 
 and there are 	 and he 's not 
 oh yeah , that 's right 	 no , i 'm not kidding 
 not hiding anything 	 n't know about this 
 did not specify the 	 did not define 
 shall not be 	 be required to 
 but has not yet been 	 but not 
 of course not ! 	 - ofcourse not . 
 not more than 	 , not exceeding 
 , that 's not possible . 	 , that 's impossible . 
 would prohibit 	 does not permit 
 be inadequate 	 does not go far enough 
 does n't matter , sir . 	 's not wrong . 
 would n't wanna 	 'm not going 
 was not part of 	 did not attend 
 no , i have not 	 something came up 
 is immaterial 	 does not matter 
 were not always 	 may not 
 not buying 	 ah , no 
 no , that 's it 	 i 'm not celebrating 
 but not limited to , 	 but not exclusively , 
 changes are not 	 amendments are not 
 not understanding 	 n't get you , gates 
 go against 	 are not opposed to 
 , and included 	 including , but not limited 
 is no good 	 will not work 
 have n't we 	 are we not 
 have n't yet 	 has not been 
 will no longer be able 	 will not be able 
 are not receiving 	 are not getting 
 forget about it . 	 it does not matter . 
 , the european union can not 	 , the eu can not 
 because it is not possible 	 because it is impossible 
 it is very difficult 	 not easily 
 of bosnia 	 bosnia and herzegovina not authorized by 
 as it 's not 	 that that is not 
 are exempt from 	 are not subject to 
 that had not yet ratified 	 that have not ratified 
 and then not 	 and avoiding 
 did n't exist 	 is not present 
 little from 	 is not much 
 ai n't your 	 is not your 
 is still being 	 had not been 
 program is not 	 programme in the 
 is not applicable to 	 do not cover 
 i do n't know what happened 	 i do not know 
 that ai n't fair 	 this is not right 
